"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1053","EDGECOMBE ","NC",1,0,"34320",9308,12,0.00128921357971637
"1054","GASTON ","NC",2,1,"34350",32390,1832,0.0565606668724915
"1055","GATES ","NC",1,1,"34360",1933,51,0.0263838592860838
"1056","GRANVILLE ","NC",3,1,"34380",7523,302,0.0401435597500997
"1057","GUILFORD ","NC",7,4,"34400",64891,12740,0.196329229014809
"1058","HALIFAX ","NC",4,3,"34410",12538,429,0.0342159834104323
"1059","HARNETT ","NC",2,0,"34420",11377,51,0.00448272831150567
"1060","HAYWOOD ","NC",2,2,"34430",13049,411,0.0314966664112193
"1061","HERTFORD ","NC",1,1,"34450",4460,77,0.0172645739910314
"1062","HOKE ","NC",2,2,"34460",3129,81,0.0258868648130393
"1063","HYDE ","NC",0,0,"34470",968,0,0
"1064","IREDELL ","NC",3,1,"34480",21396,1137,0.0531407739764442
"1065","JOHNSTON ","NC",2,1,"34500",16877,641,0.0379806837708123
"1066","LENOIR ","NC",0,0,"34530",12446,0,0
"1067","MCDOWELL ","NC",3,3,"34550",8418,1531,0.181872178664766
"1068","MECKLENBURG ","NC",9,3,"34590",83098,6469,0.077847842306674
"1069","MOORE ","NC",3,0,"34620",19838,128,0.00645226333299728
"1070","NASH ","NC",1,0,"34630",15868,47,0.00296193597176708
"1071","NEW HANOVER ","NC",2,0,"34640",29253,115,0.00393122072949783
"1072","NORTHAMPTON ","NC",8,3,"34650",4983,3504,0.703190848886213
"1073","ONSLOW ","NC",1,0,"34660",14715,12,0.000815494393476045
"1074","PAMLICO ","NC",0,0,"34680",2706,0,0
"1075","PASQUOTANK ","NC",1,1,"34690",6112,146,0.0238874345549738
"1076","PENDER ","NC",2,1,"34700",7901,72,0.00911277053537527
"1077","PERQUIMANS ","NC",1,1,"34710",2812,47,0.0167140825035562
"1078","PERSON ","NC",4,2,"34720",5932,386,0.0650708024275118
"1079","PITT ","NC",1,1,"34730",19153,150,0.00783167127865086
"1080","ROBESON ","NC",0,0,"34770",20505,0,0
"1081","RUTHERFORD ","NC",4,3,"34800",12593,3658,0.290478837449377
"1082","SAMPSON ","NC",1,0,"34810",9631,23,0.00238812169037483
"1083","STANLY ","NC",1,0,"34830",10868,12,0.00110415899889584
"1084","STOKES ","NC",5,3,"34840",7100,2676,0.376901408450704
"1085","SURRY ","NC",5,2,"34850",15128,3413,0.225608143839238
"1086","SWAIN ","NC",1,1,"34860",2834,33,0.0116443189837685
"1087","TRANSYLVANIA ","NC",1,1,"34870",7857,149,0.0189639811632939
"1088","TYRRELL ","NC",1,1,"34880",735,15,0.0204081632653061
"1089","VANCE ","NC",3,2,"34900",8093,420,0.0518967008525887
"1090","WAKE ","NC",8,3,"34910",74458,5492,0.0737597034569825
"1091","WATAUGA ","NC",1,1,"34940",5798,74,0.0127630217316316
"1092","YADKIN ","NC",6,2,"34980",6968,2350,0.337256027554535
"1093","YANCEY ","NC",3,1,"34981",4189,114,0.0272141322511339
"1094","BARNES ","ND",2,2,"35010",2473,46,0.0186008896077638
"1095","BENSON ","ND",1,1,"35020",1041,109,0.104707012487992
"1096","BOTTINEAU ","ND",1,1,"35040",1549,51,0.0329244673983215
"1097","BURLEIGH ","ND",1,0,"35070",11253,41,0.003643472851684
"1098","CAVALIER ","ND",0,0,"35090",1098,0,0
"1099","DICKEY ","ND",0,0,"35100",1168,0,0
"1100","DIVIDE ","ND",0,0,"35110",509,0,0
"1101","DUNN ","ND",4,3,"35120",553,429,0.775768535262206
"1102","EMMONS ","ND",0,0,"35140",1064,0,0
"1103","FOSTER ","ND",0,0,"35150",860,0,0
"1104","GRAND FORKS ","ND",2,1,"35170",7621,100,0.01312163758037
"1105","GRIGGS ","ND",0,0,"35190",632,0,0
"1106","KIDDER ","ND",0,0,"35210",588,0,0
"1107","LAMOURE ","ND",0,0,"35220",1130,0,0
"1108","MORTON ","ND",1,0,"35290",4474,20,0.00447027268663388
"1109","MOUNTRAIL ","ND",0,0,"35300",1247,0,0
"1110","OLIVER ","ND",0,0,"35320",224,0,0
"1111","PEMBINA ","ND",0,0,"35330",1697,0,0
"1112","RANSOM ","ND",1,1,"35360",1168,17,0.0145547945205479
"1113","ROLETTE ","ND",1,1,"35390",1768,68,0.0384615384615385
"1114","SARGENT ","ND",0,0,"35400",865,0,0
"1115","STUTSMAN ","ND",2,2,"35460",4292,78,0.0181733457595527
"1116","TOWNER ","ND",0,0,"35470",599,0,0
"1117","TRAILL ","ND",1,1,"35480",1613,18,0.0111593304401736
"1118","WALSH ","ND",1,1,"35490",2573,32,0.0124368441507967
"1119","WARD ","ND",1,0,"35500",8776,24,0.00273473108477666
"1120","WILLIAMS ","ND",2,1,"35520",3889,85,0.021856518385189
"1121","ANTELOPE ","NE",1,1,"28010",1404,13,0.00925925925925926
"1122","BOX BUTTE ","NE",0,0,"28060",1945,0,0
"1123","BUFFALO ","NE",7,6,"28090",5910,281,0.0475465313028765
"1124","BURT ","NE",1,1,"28100",1791,38,0.0212171970965941
"1125","CHERRY ","NE",0,0,"28150",1266,0,0
"1126","COLFAX ","NE",3,3,"28180",3612,67,0.0185492801771872
"1127","CUMING ","NE",1,1,"28190",1922,18,0.00936524453694069
"1128","DAWES ","NE",0,0,"28220",1548,0,0
"1129","DEUEL ","NE",0,0,"28240",518,0,0
"1130","DIXON ","NE",1,1,"28250",1323,198,0.149659863945578
"1131","DUNDY ","NE",0,0,"28280",486,0,0
"1132","FRONTIER ","NE",0,0,"28310",553,0,0
"1133","FURNAS ","NE",0,0,"28320",1413,0,0
"1134","GAGE ","NE",0,0,"28330",5235,0,0
"1135","GARDEN ","NE",0,0,"28340",644,0,0
"1136","GOSPER ","NE",0,0,"28360",522,0,0
"1137","GREELEY ","NE",0,0,"28380",624,0,0
"1138","HAYES ","NE",0,0,"28420",116,0,0
"1139","HITCHCOCK ","NE",0,0,"28430",778,0,0
"1140","KEARNEY ","NE",0,0,"28490",1161,0,0
"1141","KEITH ","NE",1,1,"28500",1771,14,0.00790513833992095
"1142","KIMBALL ","NE",0,0,"28520",917,0,0
"1143","LANCASTER ","NE",17,1,"28540",32606,1425,0.0437036128319941
"1144","MERRICK ","NE",2,2,"28600",1565,26,0.0166134185303514
"1145","MORRILL ","NE",0,0,"28610",1070,0,0
