"","countyname","state","numberofplans1","numberofplans2","countyssa","eligibles","totalenrollees","totalpenetration"
"1292","KAY ","OK",2,0,"37350",9465,47,0.00496566296883254
"1293","KINGFISHER ","OK",0,0,"37360",2490,0,0
"1294","LATIMER ","OK",0,0,"37380",1569,0,0
"1295","LE FLORE ","OK",2,2,"37390",9368,126,0.0134500426985482
"1296","LOVE ","OK",0,0,"37420",1693,0,0
"1297","MAJOR ","OK",0,0,"37460",1525,0,0
"1298","MAYES ","OK",3,2,"37480",6981,318,0.0455522131499785
"1299","MCCLAIN ","OK",3,1,"37430",4810,63,0.0130977130977131
"1300","MCCURTAIN ","OK",1,1,"37440",6145,41,0.00667209113100081
"1301","MUSKOGEE ","OK",2,1,"37500",13821,198,0.0143260256131973
"1302","NOWATA ","OK",1,1,"37520",2185,25,0.011441647597254
"1303","OKFUSKEE ","OK",1,1,"37530",2387,25,0.0104733975701718
"1304","OKLAHOMA ","OK",5,2,"37540",101227,11400,0.112618174992838
"1305","OKMULGEE ","OK",3,1,"37550",7226,199,0.0275394409078328
"1306","PAYNE ","OK",1,1,"37590",9082,107,0.0117815459149967
"1307","PITTSBURG ","OK",2,1,"37600",8733,111,0.0127104087942288
"1308","PUSHMATAHA ","OK",0,0,"37630",2653,0,0
"1309","ROGER MILLS ","OK",0,0,"37640",719,0,0
"1310","ROGERS ","OK",4,2,"37650",10154,2620,0.258026393539492
"1311","SEQUOYAH ","OK",2,1,"37670",7446,60,0.008058017727639
"1312","TILLMAN ","OK",0,0,"37700",1767,0,0
"1313","TULSA ","OK",4,2,"37710",90596,21119,0.233111837167204
"1314","WAGONER ","OK",4,3,"37720",5479,2126,0.388027012228509
"1315","WASHITA ","OK",0,0,"37740",2338,0,0
"1316","WOODS ","OK",1,1,"37750",1696,48,0.0283018867924528
"1317","WOODWARD ","OK",0,0,"37760",3139,0,0
"1318","CLACKAMAS ","OR",17,7,"38020",48208,23367,0.48471208098241
"1319","CLATSOP ","OR",3,2,"38030",7018,809,0.115275007124537
"1320","CROOK ","OR",1,1,"38060",4098,688,0.167886774036115
"1321","DESCHUTES ","OR",8,1,"38080",22473,6598,0.293596760557113
"1322","GILLIAM ","OR",0,0,"38100",445,0,0
"1323","HARNEY ","OR",0,0,"38120",1463,0,0
"1324","HOOD RIVER ","OR",3,2,"38130",2964,442,0.149122807017544
"1325","JOSEPHINE ","OR",4,3,"38160",19457,5709,0.29341625122064
"1326","KLAMATH ","OR",3,2,"38170",12158,599,0.0492679717058727
"1327","MALHEUR ","OR",1,0,"38220",5104,16,0.00313479623824451
"1328","MULTNOMAH ","OR",18,8,"38250",92176,38058,0.412884047908349
"1329","TILLAMOOK ","OR",5,2,"38280",5790,877,0.15146804835924
"1330","UMATILLA ","OR",4,3,"38290",10588,411,0.0388175292784284
"1331","WALLOWA ","OR",0,0,"38310",1718,0,0
"1332","WASCO ","OR",2,2,"38320",4785,680,0.142110762800418
"1333","YAMHILL ","OR",10,5,"38350",12762,5130,0.40197461212976
"1334","ALLEGHENY ","PA",13,4,"39010",237191,102707,0.433013900190142
"1335","ARMSTRONG ","PA",5,5,"39070",16241,5642,0.347392401945693
"1336","BEDFORD ","PA",9,7,"39100",10053,3978,0.395702775290958
"1337","BERKS ","PA",11,1,"39110",64623,5946,0.0920105844668307
"1338","BLAIR ","PA",6,4,"39120",26075,8174,0.313480345158198
"1339","BUCKS ","PA",10,4,"39140",91551,32140,0.351061157169228
"1340","CAMBRIA ","PA",6,4,"39160",33099,15674,0.473549049820236
"1341","CENTRE ","PA",7,2,"39200",17671,2206,0.124837304057495
"1342","CHESTER ","PA",7,4,"39210",59514,18229,0.306297677857311
"1343","CLARION ","PA",3,2,"39220",7541,179,0.0237369049197719
"1344","CLEARFIELD ","PA",4,2,"39230",16247,2772,0.170616113744076
"1345","DAUPHIN ","PA",12,2,"39280",40811,4288,0.105069711597363
"1346","FOREST ","PA",4,4,"39340",1542,144,0.0933852140077821
"1347","HUNTINGDON ","PA",5,2,"39380",8308,514,0.0618680789600385
"1348","INDIANA ","PA",6,4,"39390",15992,5521,0.345235117558779
"1349","JUNIATA ","PA",2,2,"39410",4096,1047,0.255615234375
"1350","LACKAWANNA ","PA",5,1,"39420",44548,6615,0.148491514770585
"1351","LEBANON ","PA",7,1,"39460",23435,434,0.0185193087262641
"1352","LEHIGH ","PA",8,2,"39470",56577,5186,0.0916626897856019
"1353","LUZERNE ","PA",5,2,"39480",67283,4403,0.0654400071340457
"1354","LYCOMING ","PA",5,1,"39510",22643,1328,0.0586494722430773
"1355","MCKEAN ","PA",0,0,"39520",8899,0,0
"1356","MIFFLIN ","PA",3,2,"39540",9235,2744,0.29713048186248
"1357","MONTOUR ","PA",1,1,"39580",3778,1563,0.413710958178931
"1358","NORTHUMBERLAND ","PA",4,2,"39600",20351,1510,0.0741978281165545
"1359","PHILADELPHIA ","PA",14,6,"39620",229656,90451,0.39385428641098
"1360","POTTER ","PA",4,1,"39640",3659,232,0.0634053019950806
"1361","SCHUYLKILL ","PA",5,2,"39650",31958,3387,0.105982852493898
"1362","SNYDER ","PA",2,2,"39670",6423,1542,0.240074731433909
"1363","SUSQUEHANNA ","PA",4,0,"39700",7966,98,0.0123022847100176
"1364","VENANGO ","PA",4,2,"39730",11728,359,0.0306105047748977
"1365","WESTMORELAND ","PA",9,5,"39770",74670,34204,0.458068836212669
"1366","NEWPORT ","RI",3,2,"41020",14897,2647,0.177686782573673
"1367","PROVIDENCE ","RI",5,2,"41030",103171,35692,0.345949927789786
"1368","ABBEVILLE ","SC",1,1,"42000",4062,291,0.0716395864106352
"1369","AIKEN ","SC",2,0,"42010",24919,128,0.00513664272242064
"1370","ALLENDALE ","SC",0,0,"42020",1686,0,0
"1371","BAMBERG ","SC",0,0,"42040",2746,0,0
"1372","BARNWELL ","SC",0,0,"42050",3827,0,0
"1373","BERKELEY ","SC",3,0,"42070",15271,60,0.00392901578154672
"1374","CHARLESTON ","SC",3,0,"42090",49249,86,0.00174622834981421
"1375","CHESTERFIELD ","SC",5,0,"42120",7059,112,0.0158662700099164
"1376","CLARENDON ","SC",1,0,"42130",5954,16,0.00268726906281491
"1377","COLLETON ","SC",1,0,"42140",6691,12,0.00179345389328949
"1378","DARLINGTON ","SC",1,0,"42150",10795,15,0.00138953219082909
"1379","DILLON ","SC",0,0,"42160",5068,0,0
"1380","EDGEFIELD ","SC",1,1,"42180",2777,16,0.00576161325171048
"1381","FLORENCE ","SC",2,1,"42200",22071,40,0.00181233292555843
"1382","GEORGETOWN ","SC",1,0,"42210",15208,18,0.00118358758548133
"1383","GREENVILLE ","SC",2,1,"42220",62932,3110,0.0494184198817772
"1384","HAMPTON ","SC",0,0,"42240",4165,0,0
"1385","HORRY ","SC",4,0,"42250",40607,194,0.00477750141601202
"1386","KERSHAW ","SC",1,0,"42270",9748,25,0.00256462864177267
"1387","LEXINGTON ","SC",3,1,"42310",31241,1440,0.0460932748631606
"1388","MARLBORO ","SC",0,0,"42340",5081,0,0
"1389","MCCORMICK ","SC",1,1,"42320",2383,54,0.0226605119597146
"1390","NEWBERRY ","SC",1,1,"42350",6956,357,0.0513225991949396
"1391","ORANGEBURG ","SC",1,0,"42370",16279,68,0.0041771607592604
"1392","SALUDA ","SC",2,2,"42400",2612,162,0.0620214395099541
"1393","SPARTANBURG ","SC",2,1,"42410",45975,2538,0.0552039151712887
"1394","WILLIAMSBURG ","SC",0,0,"42440",6100,0,0
"1395","AURORA ","SD",0,0,"43010",593,0,0
"1396","BEADLE ","SD",1,0,"43020",3653,15,0.00410621407062688
"1397","BON HOMME ","SD",0,0,"43040",1502,0,0
"1398","BROOKINGS ","SD",0,0,"43050",3427,0,0
"1399","CODINGTON ","SD",1,1,"43140",4570,37,0.00809628008752735
"1400","DAVISON ","SD",0,0,"43170",3629,0,0
"1401","DAY ","SD",0,0,"43180",1437,0,0
"1402","EDMUNDS ","SD",0,0,"43220",944,0,0
"1403","FALL RIVER ","SD",0,0,"43230",2079,0,0
"1404","FAULK ","SD",0,0,"43240",647,0,0
"1405","GREGORY ","SD",0,0,"43260",1228,0,0
"1406","HAMLIN ","SD",1,1,"43280",1036,12,0.0115830115830116
"1407","HANSON ","SD",0,0,"43300",844,0,0
"1408","HUTCHINSON ","SD",0,0,"43330",1926,0,0
"1409","JERAULD ","SD",0,0,"43360",576,0,0
"1410","KINGSBURY ","SD",0,0,"43380",1497,0,0
"1411","LYMAN ","SD",0,0,"43420",578,0,0
"1412","MCCOOK ","SD",0,0,"43430",1116,0,0
"1413","MINER ","SD",0,0,"43480",635,0,0
"1414","MINNEHAHA ","SD",4,1,"43490",23421,377,0.0160966653857649
"1415","MOODY ","SD",0,0,"43500",924,0,0
"1416","ROBERTS ","SD",1,1,"43540",1766,18,0.0101925254813137
"1417","SANBORN ","SD",0,0,"43550",581,0,0
"1418","SPINK ","SD",0,0,"43570",1705,0,0
"1419","SULLY ","SD",0,0,"43590",243,0,0
"1420","TRIPP ","SD",0,0,"43610",1310,0,0
"1421","WALWORTH ","SD",1,1,"43640",866,279,0.322170900692841
"1422","YANKTON ","SD",1,0,"43670",3777,12,0.00317712470214456
"1423","BLEDSOE ","TN",1,1,"44030",1771,49,0.0276679841897233
"1424","CANNON ","TN",1,1,"44070",2333,294,0.126018002571796
"1425","CHEATHAM ","TN",3,1,"44100",4428,962,0.217253839205059
"1426","COCKE ","TN",3,2,"44140",7111,736,0.103501617212769
"1427","CROCKETT ","TN",0,0,"44160",2827,0,0
"1428","DICKSON ","TN",3,1,"44210",7242,1094,0.151063242198288
"1429","DYER ","TN",1,0,"44220",6894,19,0.0027560197272991
"1430","FENTRESS ","TN",0,0,"44240",3857,0,0
"1431","GILES ","TN",3,0,"44270",5457,41,0.00751328568810702
"1432","GRAINGER ","TN",4,4,"44280",4505,664,0.147391786903441
"1433","HAMBLEN ","TN",5,2,"44310",10657,1045,0.098057614713334
"1434","HARDEMAN ","TN",3,0,"44340",4947,39,0.007883565797453
"1435","HAWKINS ","TN",4,3,"44360",10644,2384,0.223975948891394
"1436","LOUDON ","TN",3,3,"44520",10465,1456,0.139130434782609
"1437","MAURY ","TN",3,1,"44590",11961,413,0.0345288855446869
"1438","MCMINN ","TN",2,2,"44530",9592,517,0.0538990825688073
"1439","MCNAIRY ","TN",1,0,"44540",6085,12,0.00197206244864421
"1440","OBION ","TN",1,1,"44650",6708,62,0.00924269528920692
"1441","OVERTON ","TN",1,0,"44660",4110,11,0.00267639902676399
"1442","PICKETT ","TN",0,0,"44680",949,0,0
"1443","RHEA ","TN",2,2,"44710",5846,130,0.0222374273007184
"1444","ROANE ","TN",5,3,"44720",11717,1538,0.131262268498762
"1445","ROBERTSON ","TN",3,2,"44730",8537,1705,0.199718870797704
"1446","SEQUATCHIE ","TN",1,1,"44760",1968,53,0.0269308943089431
"1447","TIPTON ","TN",1,1,"44830",7322,197,0.0269052171537831
"1448","TROUSDALE ","TN",1,1,"44840",1190,180,0.151260504201681
"1449","UNICOI ","TN",4,3,"44850",4372,328,0.0750228728270814
"1450","WEAKLEY ","TN",1,0,"44910",5758,19,0.00329975686002084
"1451","ANDREWS ","TX",0,0,"45010",1917,0,0
"1452","ANGELINA ","TX",3,2,"45020",13904,401,0.0288406214039125
"1453","ARANSAS ","TX",1,1,"45030",4880,493,0.101024590163934
"1454","ARCHER ","TX",0,0,"45040",1131,0,0
"1455","ATASCOSA ","TX",3,3,"45060",5207,713,0.136931054349914
"1456","AUSTIN ","TX",2,2,"45070",4561,65,0.0142512606884455
"1457","BAILEY ","TX",0,0,"45080",1115,0,0
"1458","BANDERA ","TX",1,1,"45090",3402,24,0.00705467372134039
"1459","BASTROP ","TX",4,2,"45100",8448,228,0.0269886363636364
"1460","BAYLOR ","TX",0,0,"45110",1028,0,0
"1461","BEE ","TX",2,2,"45113",3810,75,0.0196850393700787
"1462","BEXAR ","TX",12,2,"45130",188073,48826,0.259611959186061
"1463","BLANCO ","TX",0,0,"45140",2713,0,0
"1464","BOSQUE ","TX",2,2,"45160",3913,775,0.198057756197291
"1465","BOWIE ","TX",1,0,"45170",14576,13,0.000891877058177827
"1466","BRAZORIA ","TX",5,3,"45180",29481,1356,0.0459957260608528
"1467","BRAZOS ","TX",2,1,"45190",13458,688,0.0511220092138505
"1468","BREWSTER ","TX",0,0,"45200",1477,0,0
"1469","BRISCOE ","TX",0,0,"45201",391,0,0
"1470","BURLESON ","TX",2,2,"45221",3158,365,0.115579480683977
"1471","BURNET ","TX",1,1,"45222",7531,555,0.0736953923781702
"1472","CALLAHAN ","TX",1,1,"45230",2599,37,0.0142362447095037
"1473","CAMP ","TX",0,0,"45250",2547,0,0
"1474","CARSON ","TX",0,0,"45251",1114,0,0
"1475","CHILDRESS ","TX",0,0,"45290",1203,0,0
"1476","COCHRAN ","TX",0,0,"45292",572,0,0
"1477","COKE ","TX",0,0,"45300",803,0,0
"1478","COLEMAN ","TX",2,2,"45301",2253,47,0.020861074123391
"1479","COLLIN ","TX",7,1,"45310",41414,3034,0.0732602501569518
"1480","COLORADO ","TX",1,0,"45312",3976,17,0.00427565392354125
"1481","COMAL ","TX",4,2,"45320",15823,1905,0.120394362636668
"1482","CONCHO ","TX",0,0,"45330",546,0,0
"1483","COOKE ","TX",2,1,"45340",5899,85,0.0144092219020173
"1484","CORYELL ","TX",1,1,"45341",5780,1247,0.215743944636678
"1485","CROSBY ","TX",0,0,"45362",1115,0,0
"1486","CULBERSON ","TX",0,0,"45370",381,0,0
"1487","DALLAM ","TX",0,0,"45380",1311,0,0
"1488","DE WITT ","TX",0,0,"45420",3446,0,0
"1489","DEAF SMITH ","TX",0,0,"45392",2498,0,0
"1490","DENTON ","TX",8,2,"45410",31683,2544,0.0802954265694537
"1491","DIMMIT ","TX",0,0,"45430",1482,0,0
"1492","DONLEY ","TX",0,0,"45431",912,0,0
"1493","EASTLAND ","TX",1,1,"45450",4185,30,0.00716845878136201
"1494","ECTOR ","TX",2,0,"45451",16974,66,0.00388829975256274
"1495","ERATH ","TX",2,0,"45490",5180,34,0.00656370656370656
"1496","FALLS ","TX",1,1,"45500",2906,491,0.168960770818995
"1497","FISHER ","TX",0,0,"45520",919,0,0
"1498","FOARD ","TX",0,0,"45522",377,0,0
"1499","FORT BEND ","TX",7,2,"45530",27163,3085,0.113573611162243
"1500","FREESTONE ","TX",0,0,"45540",3074,0,0
"1501","FRIO ","TX",1,1,"45541",2058,35,0.0170068027210884
"1502","GAINES ","TX",0,0,"45542",1682,0,0
"1503","GALVESTON ","TX",6,3,"45550",36318,1540,0.0424032160361253
"1504","GARZA ","TX",0,0,"45551",824,0,0
"1505","GILLESPIE ","TX",0,0,"45552",5676,0,0
"1506","GOLIAD ","TX",0,0,"45561",1195,0,0
"1507","GONZALES ","TX",0,0,"45562",3448,0,0
"1508","GREGG ","TX",2,0,"45570",21663,75,0.00346212435950699
"1509","GRIMES ","TX",1,1,"45580",3606,175,0.0485302273987798
"1510","HARTLEY ","TX",0,0,"45621",149,0,0
"1511","HAYS ","TX",3,1,"45631",11583,161,0.0138996805663472
"1512","HEMPHILL ","TX",0,0,"45632",496,0,0
"1513","HOCKLEY ","TX",0,0,"45652",3228,0,0
"1514","HOOD ","TX",4,1,"45653",10069,242,0.0240341642665607
"1515","HUDSPETH ","TX",0,0,"45662",422,0,0
"1516","HUNT ","TX",1,0,"45670",12344,24,0.00194426441996111
"1517","IRION ","TX",0,0,"45672",272,0,0
"1518","JACK ","TX",0,0,"45680",1395,0,0
"1519","JIM HOGG ","TX",0,0,"45710",864,0,0
"1520","JIM WELLS ","TX",2,1,"45711",6509,101,0.0155169764940851
"1521","KARNES ","TX",0,0,"45722",2599,0,0
"1522","KAUFMAN ","TX",3,2,"45730",15489,660,0.042610885144296
"1523","KERR ","TX",0,0,"45734",12549,0,0
"1524","KIMBLE ","TX",0,0,"45740",918,0,0
"1525","KINNEY ","TX",0,0,"45742",786,0,0
"1526","KLEBERG ","TX",1,1,"45743",3913,52,0.0132890365448505
"1527","LAMB ","TX",0,0,"45751",2654,0,0
"1528","LAMPASAS ","TX",1,1,"45752",3476,604,0.173762945914845
"1529","LAVACA ","TX",0,0,"45754",5082,0,0
"1530","LIVE OAK ","TX",1,1,"45760",1442,25,0.0173370319001387
"1531","LLANO ","TX",1,1,"45761",4956,369,0.074455205811138
"1532","LUBBOCK ","TX",3,0,"45770",33070,196,0.00592682189295434
"1533","LYNN ","TX",1,1,"45771",1058,21,0.0198487712665406
"1534","MATAGORDA ","TX",2,2,"45790",5687,91,0.016001406717074
"1535","MAVERICK ","TX",0,0,"45791",6962,0,0
"1536","MCCULLOCH ","TX",0,0,"45772",1808,0,0
"1537","MCLENNAN ","TX",4,2,"45780",32981,3412,0.103453503532337
"1538","MCMULLEN ","TX",0,0,"45781",154,0,0
"1539","MILAM ","TX",1,1,"45795",4720,1588,0.336440677966102
"1540","MONTAGUE ","TX",0,0,"45800",4530,0,0
"1541","NACOGDOCHES ","TX",2,0,"45810",8811,62,0.00703665872205198
"1542","NAVARRO ","TX",1,0,"45820",8036,11,0.00136884021901444
"1543","NOLAN ","TX",3,2,"45822",3018,57,0.0188866799204771
"1544","NUECES ","TX",7,4,"45830",43336,8220,0.189680635037844
"1545","OCHILTREE ","TX",0,0,"45831",1153,0,0
"1546","PALO PINTO ","TX",0,0,"45841",4653,0,0
"1547","PARKER ","TX",3,1,"45843",11908,179,0.0150319113201209
"1548","PARMER ","TX",0,0,"45844",1325,0,0
"1549","PECOS ","TX",0,0,"45845",1967,0,0
"1550","PRESIDIO ","TX",0,0,"45861",1541,0,0
"1551","RAINS ","TX",1,1,"45870",1884,18,0.00955414012738853
"1552","RANDALL ","TX",2,2,"45871",4920,239,0.0485772357723577
"1553","REAGAN ","TX",0,0,"45872",400,0,0
"1554","REAL ","TX",0,0,"45873",868,0,0
"1555","REEVES ","TX",0,0,"45875",1931,0,0
"1556","REFUGIO ","TX",0,0,"45876",1561,0,0
"1557","ROCKWALL ","TX",2,2,"45879",5783,269,0.0465156493169635
"1558","RUNNELS ","TX",1,1,"45880",2433,29,0.0119194410193177
"1559","RUSK ","TX",4,3,"45881",6982,488,0.0698940131767402
"1560","SAN AUGUSTINE ","TX",1,1,"45883",2033,18,0.0088539104771274
"1561","SAN JACINTO ","TX",1,1,"45884",3337,272,0.0815103386275097
"1562","SAN PATRICIO ","TX",4,3,"45885",10233,1991,0.19456659826053
"1563","SAN SABA ","TX",1,1,"45886",1144,86,0.0751748251748252
"1564","SCHLEICHER ","TX",0,0,"45887",469,0,0
"1565","SCURRY ","TX",1,1,"45888",2705,42,0.0155268022181146
"1566","SHACKELFORD ","TX",0,0,"45889",611,0,0
"1567","SOMERVELL ","TX",2,2,"45893",1080,37,0.0342592592592593
"1568","STARR ","TX",0,0,"45900",7350,0,0
"1569","SUTTON ","TX",1,1,"45904",570,13,0.0228070175438597
"1570","SWISHER ","TX",0,0,"45905",1538,0,0
"1571","TARRANT ","TX",10,1,"45910",157962,32515,0.20584064521847
"1572","TERRY ","TX",0,0,"45913",2093,0,0
"1573","THROCKMORTON ","TX",0,0,"45920",398,0,0
"1574","TITUS ","TX",0,0,"45921",4050,0,0
"1575","TOM GREEN ","TX",2,1,"45930",17052,235,0.013781374618813
"1576","TRAVIS ","TX",10,4,"45940",73866,2369,0.0320715890937644
"1577","TYLER ","TX",4,4,"45942",4114,167,0.0405930967428294
"1578","UPSHUR ","TX",2,2,"45943",6815,199,0.0292002934702861
"1579","UPTON ","TX",0,0,"45944",568,0,0
"1580","UVALDE ","TX",0,0,"45945",4124,0,0
"1581","VAL VERDE ","TX",0,0,"45946",5636,0,0
"1582","VAN ZANDT ","TX",1,0,"45947",9376,11,0.00117320819112628
"1583","VICTORIA ","TX",1,0,"45948",13045,12,0.000919892679187428
"1584","WALLER ","TX",3,2,"45950",3549,177,0.0498732037193576
"1585","WEBB ","TX",3,0,"45953",20686,42,0.00203035869670308
"1586","WHARTON ","TX",1,1,"45954",6561,44,0.00670629477213839
"1587","WILBARGER ","TX",0,0,"45961",2642,0,0
"1588","WILLACY ","TX",0,0,"45962",2868,0,0
"1589","WINKLER ","TX",0,0,"45972",1086,0,0
"1590","WISE ","TX",4,3,"45973",6550,1834,0.28
"1591","YOUNG ","TX",0,0,"45981",3984,0,0
"1592","ZAPATA ","TX",0,0,"45982",1451,0,0
"1593","ZAVALA ","TX",0,0,"45983",1693,0,0
"1594","BOX ELDER ","UT",5,2,"46010",5593,285,0.0509565528338995
"1595","CACHE ","UT",4,3,"46020",8292,453,0.0546309696092619
"1596","DAGGETT ","UT",0,0,"46040",176,0,0
"1597","DUCHESNE ","UT",2,2,"46060",2156,50,0.023191094619666
"1598","EMERY ","UT",2,2,"46070",1471,59,0.0401087695445275
"1599","JUAB ","UT",2,2,"46110",1058,48,0.0453686200378072
"1600","MILLARD ","UT",3,3,"46130",1686,49,0.0290628706998814
"1601","PIUTE ","UT",1,1,"46150",332,12,0.036144578313253
"1602","RICH ","UT",1,1,"46160",314,15,0.0477707006369427
"1603","SALT LAKE ","UT",11,6,"46170",91874,7650,0.0832662124213597
"1604","SANPETE ","UT",2,2,"46190",3085,99,0.0320907617504052
"1605","TOOELE ","UT",3,1,"46220",4070,98,0.0240786240786241
"1606","UINTAH ","UT",1,1,"46230",3118,79,0.0253367543296985
"1607","UTAH ","UT",9,3,"46240",31866,2926,0.0918220046444486
"1608","WASATCH ","UT",3,3,"46250",1994,85,0.0426278836509529
"1609","WEBER ","UT",8,6,"46280",24815,1724,0.0694741084021761
"1610","ACCOMACK ","VA",0,0,"49000",7169,0,0
"1611","ALBEMARLE ","VA",1,0,"49010",9303,20,0.00214984413630012
"1612","ALEXANDRIA CITY ","VA",1,1,"49011",18791,559,0.0297482837528604
"1613","AMELIA ","VA",1,1,"49030",2013,14,0.00695479384003974
"1614","AMHERST ","VA",3,2,"49040",5709,173,0.0303030303030303
"1615","APPOMATTOX ","VA",1,1,"49050",2459,32,0.0130134200894673
"1616","ARLINGTON ","VA",1,1,"49060",18036,844,0.0467952982923043
"1617","AUGUSTA ","VA",0,0,"49070",7682,0,0
"1618","BLAND ","VA",1,1,"49100",1468,29,0.0197547683923706
"1619","BOTETOURT ","VA",3,1,"49110",5158,79,0.0153160139588988
"1620","BUCKINGHAM ","VA",0,0,"49140",2169,0,0
"1621","BUENA VISTA CITY ","VA",0,0,"49141",1676,0,0
"1622","CHARLES CITY ","VA",0,0,"49180",1118,0,0
"1623","CHARLOTTESVILLE CITY ","VA",1,0,"49191",8748,11,0.00125743026977595
"1624","CHESAPEAKE CITY ","VA",1,1,"49194",24008,124,0.00516494501832722
"1625","COLONIAL HEIGHTS CIT ","VA",0,0,"49212",4189,0,0
"1626","COVINGTON CITY ","VA",1,1,"49213",3295,17,0.00515933232169954
"1627","CULPEPER ","VA",0,0,"49230",5859,0,0
"1628","DANVILLE CITY ","VA",2,0,"49241",13662,79,0.00578246230420143
"1629","DICKENSON ","VA",2,2,"49250",4174,449,0.107570675610925
"1630","DINWIDDIE ","VA",1,1,"49260",3417,32,0.00936494000585309
"1631","FAIRFAX ","VA",6,1,"49290",75781,5767,0.0761008696111162
"1632","FAIRFAX CITY ","VA",1,1,"49288",11566,164,0.0141794916133495
"1633","FALLS CHURCH CITY ","VA",1,1,"49291",2773,95,0.0342589253516048
"1634","FAUQUIER ","VA",2,0,"49300",7207,42,0.00582766754544193
"1635","FLUVANNA ","VA",0,0,"49320",3848,0,0
"1636","FRANKLIN CITY ","VA",0,0,"49328",2604,0,0
"1637","FREDERICKSBURG CITY ","VA",0,0,"49342",9205,0,0
"1638","GALAX CITY ","VA",0,0,"49343",3678,0,0
"1639","GOOCHLAND ","VA",0,0,"49370",2400,0,0
"1640","GREENSVILLE ","VA",1,1,"49400",814,11,0.0135135135135135
"1641","HAMPTON CITY ","VA",6,1,"49411",20077,483,0.0240573790905016
"1642","HANOVER ","VA",2,0,"49420",15220,53,0.00348226018396846
"1643","HARRISONBURG CITY ","VA",1,0,"49421",4499,21,0.0046677039342076
"1644","HENRICO ","VA",5,0,"49430",32257,223,0.00691322813652851
"1645","HOPEWELL CITY ","VA",0,0,"49451",4389,0,0
"1646","ISLE OF WIGHT ","VA",1,0,"49460",4987,14,0.00280729897734109
"1647","JAMES CITY ","VA",2,1,"49470",3470,68,0.0195965417867435
"1648","KING AND QUEEN ","VA",0,0,"49480",1195,0,0
"1649","KING GEORGE ","VA",0,0,"49490",2180,0,0
"1650","KING WILLIAM ","VA",0,0,"49500",2201,0,0
"1651","LEXINGTON CITY ","VA",0,0,"49522",3015,0,0
"1652","LOUDOUN ","VA",1,1,"49530",14703,785,0.0533904645310481
"1653","LUNENBURG ","VA",1,1,"49550",2049,33,0.0161054172767204
"1654","LYNCHBURG CITY ","VA",2,1,"49551",15483,166,0.0107214364141316
"1655","MANASSAS CITY ","VA",1,1,"49563",8148,133,0.0163230240549828
"1656","MANASSAS PARK CITY ","VA",1,0,"49565",0,73,Inf
"1657","MARTINSVILLE CITY ","VA",1,0,"49561",6833,27,0.00395141226401288
"1658","MATHEWS ","VA",1,1,"49570",2274,12,0.00527704485488127
"1659","NEW KENT ","VA",0,0,"49621",2325,0,0
"1660","NEWPORT NEWS CITY ","VA",6,1,"49622",22905,480,0.0209561231172233
"1661","NORFOLK CITY ","VA",2,1,"49641",28531,203,0.00711506782096667
"1662","NORTON CITY ","VA",2,2,"49661",1425,131,0.0919298245614035
"1663","NOTTOWAY ","VA",1,0,"49670",3252,15,0.00461254612546125
"1664","PATRICK ","VA",1,1,"49700",4273,27,0.00631874561198221
"1665","PETERSBURG CITY ","VA",1,0,"49701",7880,28,0.00355329949238579
"1666","PITTSYLVANIA ","VA",3,2,"49710",9089,119,0.0130927494773903
"1667","POQUOSON CITY ","VA",0,0,"49712",853,0,0
"1668","PORTSMOUTH CITY ","VA",2,1,"49711",16323,136,0.0083318017521289
"1669","POWHATAN ","VA",0,0,"49720",3198,0,0
"1670","PRINCE EDWARD ","VA",1,0,"49730",3996,14,0.0035035035035035
"1671","PRINCE GEORGE ","VA",0,0,"49740",2756,0,0
"1672","PRINCE WILLIAM ","VA",2,1,"49750",17403,1483,0.0852151927828535
"1673","RADFORD ","VA",0,0,"49771",2439,0,0
"1674","RAPPAHANNOCK ","VA",0,0,"49780",1625,0,0
"1675","RICHMOND CITY ","VA",4,1,"49791",38393,301,0.00783997082801552
"1676","ROANOKE ","VA",3,1,"49800",7132,109,0.0152832305103758
"1677","ROANOKE CITY ","VA",3,0,"49801",25006,182,0.00727825321922739
"1678","ROCKBRIDGE ","VA",2,2,"49810",2566,72,0.0280592361652377
"1679","SHENANDOAH ","VA",1,0,"49850",7729,14,0.0018113598136887
"1680","SMYTH ","VA",2,2,"49860",7590,83,0.010935441370224
"1681","SOUTHAMPTON ","VA",1,1,"49870",2401,21,0.0087463556851312
"1682","SPOTSYLVANIA ","VA",1,0,"49880",6317,25,0.00395757479816369
"1683","STAUNTON CITY ","VA",0,0,"49891",7399,0,0
"1684","SUFFOLK CITY ","VA",2,1,"49892",7742,96,0.0123998966675278
"1685","VIRGINIA BEACH CITY ","VA",3,0,"49921",47219,203,0.00429911688091658
"1686","WAYNESBORO CITY ","VA",0,0,"49951",6131,0,0
"1687","WILLIAMSBURG CITY ","VA",0,0,"49961",6171,0,0
"1688","WINCHESTER CITY ","VA",0,0,"49962",6392,0,0
"1689","WYTHE ","VA",2,1,"49980",6687,52,0.00777628233886646
"1690","ADDISON ","VT",0,0,"47000",4885,0,0
"1691","BENNINGTON ","VT",0,0,"47010",7449,0,0
"1692","CALEDONIA ","VT",0,0,"47020",5295,0,0
"1693","CHITTENDEN ","VT",0,0,"47030",18976,0,0
